City_ID,City,Country,Max Temp,Current Weather Description,Lat,Lng,Hotel Name
222,North Battleford,CA,69.4,clear sky,52.7834,-108.2847,Tropical Inn
223,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
224,Wanning,CN,81.09,broken clouds,18.8003,110.3967,Paradise Hotel
225,Atyrau,KZ,82.42,scattered clouds,47.1167,51.8833,River Palace Hotel
226,Diego De Almagro,CL,71.6,clear sky,-26.3667,-70.05,hotel luna del desierto
227,Torbay,CA,69.28,light intensity shower rain,47.6666,-52.7314,Gallows Cove
229,Kapaa,US,77.32,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
231,Kavaratti,IN,81.21,scattered clouds,10.5669,72.642,Green leaf
232,Houma,US,89.01,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
233,Guerrero Negro,MX,72.81,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
234,Bengkulu,ID,76.82,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
235,Talara,PE,70.56,few clouds,-4.5772,-81.2719,Hostal Oro Negro
236,Lorengau,PG,82.27,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
238,Faya,SA,62.71,light rain,18.3851,42.4509,املاك خالد الشعشوع
239,Nanakuli,US,76.98,clear sky,21.3906,-158.1547,Camp Pālehua
242,Pergamino,AR,69.91,broken clouds,-33.89,-60.5736,Hotel Fachinat
243,Belmonte,BR,77.25,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
245,Yakeshi,CN,61.95,overcast clouds,49.2833,120.7333,Longhua Hotel
246,Hithadhoo,MV,81.09,overcast clouds,-0.6,73.0833,Scoop Guest House
248,Elko,US,76.05,clear sky,41.0002,-115.5012,
249,Calais,FR,75.22,overcast clouds,50.9167,1.8333,Logis Hôtel Cottage
250,Meulaboh,ID,75.72,overcast clouds,4.1363,96.1285,Kost Pria
252,Cabo San Lucas,MX,88.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
253,Penzance,GB,63.72,few clouds,50.1186,-5.5371,Artist Residence Penzance
