City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather Description
80,Bossangoa,CF,2022-07-27 15:37:04,6.4926,17.4552,76.71,88,100,4.56,light rain
81,Mahebourg,MU,2022-07-27 15:37:04,-20.4081,57.7,70.25,83,40,11.5,scattered clouds
82,Pombal,BR,2022-07-27 15:36:45,-6.7703,-37.8017,92.3,31,42,8.75,scattered clouds
83,Yellowknife,CA,2022-07-27 15:35:01,62.456,-114.3525,66.72,55,75,12.66,broken clouds
84,Atuona,PF,2022-07-27 15:32:45,-9.8,-139.0333,77.61,67,61,22.15,broken clouds
85,Albany,US,2022-07-27 15:31:23,42.6001,-73.9662,78.62,51,99,1.01,overcast clouds
86,Jamestown,US,2022-07-27 15:30:59,42.097,-79.2353,77.02,53,75,6.91,broken clouds
87,Zeya,RU,2022-07-27 15:37:05,53.75,127.2667,66.38,97,100,3.04,overcast clouds
88,Verkhniye Tatyshly,RU,2022-07-27 15:37:05,56.2912,55.8575,64.83,81,79,5.28,broken clouds
89,Caluquembe,AO,2022-07-27 15:37:05,-13.7833,14.6833,76.01,17,43,2.51,scattered clouds
90,Saint George,US,2022-07-27 15:32:44,37.1041,-113.5841,82.63,63,0,0.0,clear sky
91,Ancud,CL,2022-07-27 15:37:06,-41.8697,-73.8203,53.22,81,54,3.85,broken clouds
92,Palmer,US,2022-07-27 15:37:06,42.1584,-72.3287,82.09,52,40,5.75,scattered clouds
93,Sherbakul,RU,2022-07-27 15:37:07,54.6316,72.3963,68.95,65,84,10.25,broken clouds
94,North Bend,US,2022-07-27 15:37:07,43.4065,-124.2243,61.16,100,0,3.44,clear sky
95,Brae,GB,2022-07-27 15:37:07,60.3964,-1.353,56.32,73,86,7.96,overcast clouds
96,Udachnyy,RU,2022-07-27 15:37:08,66.4167,112.4,75.45,73,81,6.53,broken clouds
97,Laureles,US,2022-07-27 15:37:08,26.1092,-97.4941,90.01,64,75,11.5,broken clouds
98,Alofi,NU,2022-07-27 15:37:08,-19.0595,-169.9187,62.49,94,10,1.14,clear sky
99,Hilo,US,2022-07-27 15:27:30,19.7297,-155.09,78.28,93,40,4.61,scattered clouds
100,Najran,SA,2022-07-27 15:37:09,17.4924,44.1277,95.65,24,93,12.01,overcast clouds
101,Airai,TL,2022-07-27 15:37:09,-8.9266,125.4092,52.52,81,60,3.96,broken clouds
102,Sakakah,SA,2022-07-27 15:37:09,29.9697,40.2064,107.17,8,4,3.83,clear sky
103,Kargat,RU,2022-07-27 15:37:10,55.1956,80.2811,67.39,68,100,6.33,overcast clouds
104,Tuy Hoa,VN,2022-07-27 15:37:10,13.0833,109.3,78.58,89,28,5.3,scattered clouds
105,Santa Cruz,BO,2022-07-27 15:37:10,-17.8,-63.1667,86.05,54,40,17.27,scattered clouds
106,Zhanaozen,KZ,2022-07-27 15:37:11,43.3,52.8,91.27,22,3,10.63,clear sky
107,Yamada,JP,2022-07-27 15:37:11,39.4667,141.95,72.55,95,100,3.51,overcast clouds
108,Kholmogory,RU,2022-07-27 15:37:11,64.2229,41.656,71.1,69,100,6.62,overcast clouds
109,Altay,CN,2022-07-27 15:37:12,47.8667,88.1167,67.8,38,15,6.62,few clouds
110,Barrow,US,2022-07-27 15:37:12,71.2906,-156.7887,32.68,100,100,13.11,snow
111,Nador,MA,2022-07-27 15:37:12,35.174,-2.9287,91.47,51,0,16.11,clear sky
112,Codrington,AU,2022-07-27 15:37:13,-38.2667,141.9667,51.4,76,91,9.04,overcast clouds
113,Gawler,AU,2022-07-27 15:37:13,-34.6,138.7333,47.48,94,79,2.98,broken clouds
114,Nampula,MZ,2022-07-27 15:37:13,-15.1165,39.2666,73.35,60,20,9.22,few clouds
115,Mount Isa,AU,2022-07-27 15:37:14,-20.7333,139.5,56.97,33,0,9.22,clear sky
116,Moose Factory,CA,2022-07-27 15:37:14,51.2585,-80.6094,69.8,68,75,11.5,broken clouds
117,Nago,JP,2022-07-27 15:37:14,26.5881,127.9761,83.25,85,2,6.2,clear sky
118,Puerto Del Rosario,ES,2022-07-27 15:37:15,28.5004,-13.8627,92.95,38,0,19.57,clear sky
119,Tuktoyaktuk,CA,2022-07-27 15:32:40,69.4541,-133.0374,55.4,67,75,16.11,broken clouds
120,Dawei,MM,2022-07-27 15:37:15,14.0833,98.2,78.15,92,98,1.52,light rain
121,Moussoro,TD,2022-07-27 15:37:16,13.6408,16.4901,81.79,63,99,14.05,overcast clouds
122,Davila,PH,2022-07-27 15:37:16,18.4726,120.5763,78.78,79,100,2.44,overcast clouds
123,Port Blair,IN,2022-07-27 15:37:16,11.6667,92.75,82.44,83,40,2.3,mist
124,Natal,BR,2022-07-27 15:36:02,-5.795,-35.2094,86.22,58,40,19.57,scattered clouds
125,Vila Velha,BR,2022-07-27 15:37:17,-20.3297,-40.2925,78.75,72,20,9.22,few clouds
126,Maragogi,BR,2022-07-27 15:37:17,-9.0122,-35.2225,78.84,69,92,11.18,overcast clouds
127,Faanui,PF,2022-07-27 15:32:44,-16.4833,-151.75,77.49,76,12,16.84,few clouds
128,Dillon,US,2022-07-27 15:36:44,34.4166,-79.3712,93.25,43,93,13.29,overcast clouds
129,Margate,GB,2022-07-27 15:37:18,51.3813,1.3862,69.12,57,99,1.01,overcast clouds
130,Sheregesh,RU,2022-07-27 15:37:18,52.9209,87.9869,54.37,84,6,2.75,clear sky
131,Grindavik,IS,2022-07-27 15:37:19,63.8424,-22.4338,53.55,100,100,19.57,light intensity drizzle
132,Arraial Do Cabo,BR,2022-07-27 15:32:25,-22.9661,-42.0278,80.56,57,20,13.8,few clouds
133,Luanda,AO,2022-07-27 15:36:40,-8.8368,13.2343,70.68,80,72,14.43,broken clouds
134,Castro,BR,2022-07-27 15:37:19,-24.7911,-50.0119,73.04,44,9,4.36,clear sky
135,Fare,PF,2022-07-27 15:37:20,-16.7,-151.0167,78.51,73,0,18.41,clear sky
136,Namibe,AO,2022-07-27 15:32:49,-15.1961,12.1522,67.87,73,7,6.26,clear sky
137,Katsuura,JP,2022-07-27 15:32:41,35.1333,140.3,79.3,92,92,15.01,overcast clouds
138,Jaca,ES,2022-07-27 15:37:20,42.569,-0.5499,89.02,23,0,4.94,clear sky
139,Port Macquarie,AU,2022-07-27 15:37:20,-31.4333,152.9167,44.89,71,6,9.37,clear sky
140,Rio Grande,BR,2022-07-27 15:37:21,-32.035,-52.0986,64.51,81,99,3.47,overcast clouds
141,Isiro,CD,2022-07-27 15:37:21,2.7739,27.616,72.79,83,99,0.89,overcast clouds
142,Paamiut,GL,2022-07-27 15:37:21,61.994,-49.6678,42.31,93,27,15.1,scattered clouds
143,Gao,ML,2022-07-27 15:36:59,16.6362,1.637,101.86,22,1,17.25,clear sky
144,Ugoofaaru,MV,2022-07-27 15:37:22,5.6667,73.0,82.06,77,32,15.05,scattered clouds
145,Baoshan,CN,2022-07-27 15:37:22,46.5586,131.4244,71.94,92,85,4.29,overcast clouds
146,Santa Cruz Del Sur,CU,2022-07-27 15:37:23,20.7147,-77.9956,86.2,64,99,17.98,overcast clouds
147,Bubaque,GW,2022-07-27 15:37:23,11.2833,-15.8333,79.0,80,80,10.67,light rain
148,Inhambane,MZ,2022-07-27 15:37:23,-23.865,35.3833,71.58,64,20,6.91,few clouds
149,Kingisepp,RU,2022-07-27 15:37:24,59.3733,28.6134,64.92,79,100,6.31,overcast clouds
150,Nouadhibou,MR,2022-07-27 15:37:24,20.931,-17.0347,82.38,69,12,24.16,few clouds
151,Carauari,BR,2022-07-27 15:37:24,-4.8828,-66.8958,92.71,42,68,3.2,broken clouds
152,Mabaruma,GY,2022-07-27 15:37:25,8.2,-59.7833,86.11,66,30,3.49,scattered clouds
153,Ulladulla,AU,2022-07-27 15:37:25,-35.35,150.4667,48.07,76,27,7.14,scattered clouds
154,La Mana,EC,2022-07-27 15:37:25,-0.9333,-79.2167,75.92,86,97,3.67,light rain
155,Biltine,TD,2022-07-27 15:37:26,14.5333,20.9167,90.59,42,79,3.94,broken clouds
156,Sohag,EG,2022-07-27 15:37:26,26.557,31.6948,100.85,10,41,13.11,scattered clouds
157,Payson,US,2022-07-27 15:36:59,40.0444,-111.7321,85.55,35,40,3.44,scattered clouds
158,Saskylakh,RU,2022-07-27 15:32:26,71.9167,114.0833,73.0,69,61,8.05,broken clouds
159,Provideniya,RU,2022-07-27 15:32:27,64.3833,-173.3,45.09,79,100,6.78,overcast clouds
160,Thompson,CA,2022-07-27 15:28:05,55.7435,-97.8558,57.36,82,100,10.36,overcast clouds
161,Menongue,AO,2022-07-27 15:37:27,-14.6585,17.691,77.36,15,49,5.61,scattered clouds
162,Tautira,PF,2022-07-27 15:37:27,-17.7333,-149.15,76.23,79,82,21.05,light rain
